Component,Explained Variance Ratio,Cumulative Variance
420,0.0008566849952787165,0.4988968072518977
421,0.000855263769822918,0.49975207102172065
422,0.0008548142270988348,0.5006068852488195
423,0.0008535272084789285,0.5014604124572984
424,0.0008514511820693794,0.5023118636393679
425,0.000850107602290519,0.5031619712416584
426,0.0008482007686558551,0.5040101720103143
427,0.0008473984891746386,0.5048575704994889
428,0.0008470944744088395,0.5057046649738978
429,0.0008458625516119237,0.5065505275255097
430,0.0008447128530979446,0.5073952403786076
431,0.0008425553092656737,0.5082377956878733
432,0.0008415909537851346,0.5090793866416584
433,0.0008406319892769185,0.5099200186309353
434,0.0008388906871740372,0.5107589093181093
435,0.0008378155021886774,0.5115967248202979
436,0.0008370996253824527,0.5124338244456804
437,0.0008359959026442327,0.5132698203483247
438,0.0008337929743207836,0.5141036133226454
439,0.0008330887422451342,0.5149367020648905
440,0.0008319410580899071,0.5157686431229804
441,0.0008313023066038737,0.5165999454295843
442,0.0008297532938064216,0.5174296987233907
443,0.0008277250445527011,0.5182574237679435
444,0.0008265445132076436,0.5190839682811511
445,0.0008261551621634317,0.5199101234433146
446,0.0008240576367973461,0.5207341810801119
447,0.0008235298901482059,0.5215577109702602
448,0.0008212257975721695,0.5223789367678323
449,0.0008204744888854275,0.5231994112567178
450,0.0008192320901516611,0.5240186433468694
451,0.0008182477073312128,0.5248368910542006
452,0.000816999942849031,0.5256538909970496
453,0.0008158592876751612,0.5264697502847248
454,0.0008147477988162367,0.5272844980835409
455,0.0008134740356533393,0.5280979721191943
456,0.0008132029641552997,0.5289111750833496
457,0.0008113869652240181,0.5297225620485736
458,0.0008097355424200663,0.5305322975909936
459,0.0008092558653684443,0.531341553456362
460,0.0008071667981647019,0.5321487202545268
461,0.0008060948162016991,0.5329548150707285
462,0.0008051379345803029,0.5337599530053088
463,0.0008044220196047052,0.5345643750249135
464,0.0008041470658025224,0.5353685220907161
465,0.0008032438149841739,0.5361717659057003
466,0.0008019793709562851,0.5369737452766565
467,0.0008002899025236042,0.5377740351791801
468,0.0007983942422643656,0.5385724294214445
469,0.000797675609629,0.5393701050310734
470,0.0007969404900202263,0.5401670455210936
471,0.0007954055681553102,0.5409624510892489
472,0.000795332627773181,0.5417577837170221
473,0.000794333848409016,0.5425521175654311
474,0.0007930263063804304,0.5433451438718115
475,0.0007922911384764458,0.544137435010288
476,0.0007906010481891938,0.5449280360584772
477,0.0007905525242919761,0.5457185885827691
478,0.0007888613260574651,0.5465074499088266
479,0.0007876274225444666,0.5472950773313711
480,0.0007872686386677032,0.5480823459700388
481,0.0007860001729128402,0.5488683461429517
482,0.000783332255823747,0.5496516783987754
483,0.0007828405298007858,0.5504345189285762
484,0.0007814128093432293,0.5512159317379194
485,0.0007808230018725264,0.5519967547397919
486,0.0007799585545050706,0.552776713294297
487,0.0007784845245756376,0.5535551978188726
488,0.0007778126235999849,0.5543330104424726
489,0.0007772605951423194,0.5551102710376149
490,0.0007766765554646745,0.5558869475930796
491,0.0007760986410721305,0.5566630462341516
492,0.0007756010875131505,0.5574386473216648
493,0.0007736113851102421,0.558212258706775
494,0.0007723118056372966,0.5589845705124123
495,0.0007706856564396776,0.559755256168852
496,0.0007701506608411543,0.5605254068296932
497,0.000768535807834066,0.5612939426375273
498,0.0007669736002863402,0.5620609162378136
499,0.0007663075117929365,0.5628272237496066
500,0.0007657288396550017,0.5635929525892616
501,0.0007647414882957837,0.5643576940775573
502,0.0007633108309055476,0.5651210049084628
503,0.0007621351370880885,0.565883140045551
504,0.0007616223866002776,0.5666447624321512
505,0.0007602454180235639,0.5674050078501748
506,0.0007582916873401687,0.568163299537515
507,0.000757876484979747,0.5689211760224947
508,0.0007558485921997363,0.5696770246146944
509,0.0007552803252642017,0.5704323049399586
510,0.0007548399206280245,0.5711871448605865
511,0.0007539246126080134,0.5719410694731946
512,0.0007531459518127617,0.5726942154250073
513,0.0007516121561047111,0.5734458275811121
514,0.0007509585547140619,0.5741967861358261
515,0.0007500065363893022,0.5749467926722155
516,0.0007490069255595665,0.5756957995977751
517,0.0007480676181684006,0.5764438672159434
518,0.0007479156421847732,0.5771917828581282
519,0.0007462270400313811,0.5779380098981596
520,0.0007451309387175684,0.5786831408368771
521,0.0007436554008006593,0.5794267962376778
522,0.0007431272985771749,0.580169923536255
523,0.0007416637057164396,0.5809115872419714
524,0.0007414693806863776,0.5816530566226579
525,0.0007409129036904095,0.5823939695263483
526,0.0007397761248409194,0.5831337456511891
527,0.0007392497599428687,0.583872995411132
528,0.0007382042639924631,0.5846111996751245
529,0.0007364942441000958,0.5853476939192246
